Number,Age,Gender,BirthPlace,Education," «Маш, а Вы не могли бы подойти, пожалуйста?»","«Даш, Вы тоже решили пораньше прийти?»","«Саш, Вы не могли бы закрыть окно, пожалуйста?»"
281,18,Женский,Екатеринбург,неоконченное высшее,нормально,нормально,нормально
282,18,Женский,Москва,неоконченное высшее,фамильярно,нормально,нормально
283,38,Женский,в июне,высшее,фамильярно,фамильярно,нормально
284,18,Женский,Москва,среднее,фамильярно,нормально,нормально
285,17,Женский,"Москва, Россия ",среднее,фамильярно,нормально,нормально
286,18,Женский,"Молдова, Тирасполь ",неоконченное высшее,фамильярно,нормально,нормально
287,19,Женский,Москва,неоконченное высшее,фамильярно,нормально,нормально
288,17,Мужской,Москва,среднее,фамильярно,фамильярно,нормально
289,18,Женский,Москва,среднее,грубо,фамильярно,нормально
290,18,Женский,Москва,неоконченное высшее,нормально,нормально,нормально
291,18,Мужской,Ташкент,неоконченное высшее,нормально,нормально,нормально
292,18,Женский,Молдова,неоконченное высшее,фамильярно,нормально,нормально
293,18,Мужской,Симферополь,неоконченное высшее,фамильярно,нормально,нормально
294,19,Женский,Новосибирск,неоконченное высшее,фамильярно,нормально,грубо
295,18,Женский,"Ангарск, Иркутская область",неоконченное высшее,фамильярно,нормально,нормально
296,18,Женский,Новосибирск,неоконченное высшее,нормально,нормально,нормально
297,18,Женский,Москва,неоконченное высшее,нормально,нормально,нормально
298,18,Женский,Москва,неоконченное высшее,нормально,нормально,нормально
299,18,Женский,Москва,неоконченное высшее,фамильярно,нормально,нормально
300,14,Мужской,Москва,незаконченное среднее (=школьник),фамильярно,нормально,нормально
301,18,Женский,Белгород,неоконченное высшее,фамильярно,нормально,нормально
302,18,Мужской,Москва,неоконченное высшее,нормально,нормально,нормально
303,18,Женский,Москва,неоконченное высшее,грубо,нормально,нормально
304,19,Женский,Вологда,неоконченное высшее,нормально,нормально,нормально
305,18,Женский,Владивосток,неоконченное высшее,нормально,нормально,нормально
306,18,Женский,Москва,неоконченное высшее,нормально,нормально,нормально
307,19,Женский,г.Москва,неоконченное высшее,фамильярно,нормально,нормально
308,17,Женский,Москва,незаконченное среднее (=школьник),нормально,нормально,нормально
309,18,Женский,Москва,неоконченное высшее,нормально,нормально,нормально
310,17,Женский,Нижний Новгород,неоконченное высшее,нормально,нормально,нормально
311,18,Мужской,Санкт-Петербург ,неоконченное высшее,нормально,нормально,нормально
312,17,Женский,Челябинск,неоконченное высшее,фамильярно,нормально,нормально
313,18,Женский,Москва,неоконченное высшее,нормально,нормально,нормально
314,27,Мужской,Рязань,высшее,нормально,нормально,нормально
315,18,Женский,Москва,неоконченное высшее,фамильярно,нормально,нормально
316,18,Мужской,"Чехия, но вырос в Санкт-Петербурге",среднее,грубо,фамильярно,фамильярно
317,18,Женский,Москва,среднее,нормально,нормально,нормально
318,18,Женский,В Таджикистане,неоконченное высшее,нормально,нормально,нормально
319,18,Женский,Хабаровск,неоконченное высшее,нормально,нормально,нормально
320,18,Женский,Новороссийск,неоконченное высшее,нормально,нормально,нормально
321,15,Женский,Москва,незаконченное среднее (=школьник),фамильярно,нормально,нормально
322,22,Женский,Санкт-Петербург,высшее,грубо,фамильярно,фамильярно
323,17,Женский,Москва ,неоконченное высшее,нормально,нормально,нормально
324,16,Женский,Россия,незаконченное среднее (=школьник),фамильярно,фамильярно,нормально
325,18,Женский,Вышний Волочек,неоконченное высшее,нормально,нормально,нормально
326,18,Женский,Москва,неоконченное высшее,нормально,нормально,нормально
327,18,Женский,Москва,среднее,фамильярно,нормально,нормально
328,49,Мужской,Ленинград,высшее,нормально,нормально,нормально
329,18,Женский,Омск,среднее,нормально,нормально,нормально
330,19,Женский,Новосибирск,неоконченное высшее,фамильярно,нормально,фамильярно
331,18,Женский,Мурманск ,среднее,фамильярно,нормально,нормально
332,21,Мужской,мск,неоконченное высшее,нормально,нормально,фамильярно
333,21,Женский,Санкт-Петербург,высшее,фамильярно,нормально,нормально
334,29,Женский,Дальний Восток,высшее,фамильярно,нормально,нормально
335,17,Женский,Москва,неоконченное высшее,фамильярно,нормально,нормально
336,47,Женский,Москва,высшее,фамильярно,нормально,фамильярно
337,57,Мужской,Москва,высшее,нормально,нормально,нормально
338,57,Женский,Москва,высшее,фамильярно,нормально,фамильярно
339,18,Женский,Пинск ,неоконченное высшее,фамильярно,нормально,нормально
340,21,Женский,Рязань ,неоконченное высшее,нормально,нормально,нормально
341,70,Мужской,Владивосток,высшее,грубо,грубо,грубо
342,32,Мужской,Москва,высшее,нормально,нормально,нормально
343,14,Женский,Москва,незаконченное среднее (=школьник),нормально,нормально,нормально
344,19,Женский,Москва,неоконченное высшее,грубо,грубо,грубо
345,17,Женский,Москва,неоконченное высшее,фамильярно,грубо,нормально
346,25,Мужской,Москва,высшее,нормально,нормально,нормально
347,25,Женский,Москва,среднее,нормально,нормально,нормально
348,37,Женский,СПб,высшее,грубо,фамильярно,грубо
349,30,Женский,москва,высшее,нормально,нормально,нормально
350,18,Женский,Москва,неоконченное высшее,фамильярно,нормально,фамильярно
351,18,Женский,рига,среднее,фамильярно,нормально,нормально
352,26,Женский,Московская область,высшее,нормально,нормально,нормально
353,17,Женский,Екатеринбург,незаконченное среднее (=школьник),нормально,фамильярно,нормально
354,22,Женский,Ивантеевка,высшее,нормально,нормально,нормально
355,48,Женский,Таганрог,высшее,грубо,нормально,фамильярно
356,18,Женский,Москва,неоконченное высшее,нормально,фамильярно,нормально
357,21,Мужской,За МКАДом,неоконченное высшее,фамильярно,нормально,нормально
358,77,Мужской,г. Улан-Удэ,высшее,фамильярно,нормально,нормально
359,46,Мужской,Москва,высшее,фамильярно,нормально,нормально
360,21,Женский,"Санкт-Петербург, Россия",высшее,грубо,фамильярно,фамильярно
361,16,Мужской,Сан-Франциско,незаконченное среднее (=школьник),нормально,нормально,нормально
362,21,Женский,Узбекистан ,неоконченное высшее,фамильярно,нормально,нормально
363,18,Женский,Новочеркасск,неоконченное высшее,нормально,фамильярно,нормально
364,20,Мужской,волгоград,неоконченное высшее,нормально,нормально,нормально
365,17,Женский,Москва,неоконченное высшее,нормально,нормально,нормально
366,49,Женский,Брянск,высшее,фамильярно,нормально,нормально
367,26,Женский,Санкт-Петербург,высшее,фамильярно,нормально,фамильярно
368,48,Мужской,Москва,высшее,фамильярно,фамильярно,фамильярно
369,19,Мужской,Санкт Петербург,неоконченное высшее,грубо,фамильярно,фамильярно
370,22,Женский,Москва,высшее,фамильярно,нормально,фамильярно
371,18,Мужской,Москва,среднее,фамильярно,нормально,нормально
372,47,Мужской,Конотоп,высшее,фамильярно,нормально,нормально
373,51,Женский,Москва,высшее,фамильярно,нормально,нормально
374,15,Женский,Санкт-Петербург,незаконченное среднее (=школьник),грубо,фамильярно,фамильярно
375,60,Женский,Москва,высшее,фамильярно,фамильярно,фамильярно
376,56,Мужской,Тамбов,высшее,фамильярно,нормально,нормально
377,18,Женский,Москва,среднее,грубо,нормально,фамильярно
378,50,Мужской,Москва,высшее,фамильярно,нормально,фамильярно
379,43,Женский,В Москве,высшее,нормально,нормально,нормально
380,66,Мужской,Республика Молдова,высшее,грубо,нормально,нормально
381,16,Мужской,Москва,среднее,фамильярно,нормально,нормально
382,42,Женский,Московская область,высшее,нормально,нормально,нормально
383,69,Женский,г.Феодосия Крымской области,высшее,фамильярно,нормально,нормально
384,45,Женский,Тула,высшее,нормально,нормально,нормально
385,15,Женский,Москва,незаконченное среднее (=школьник),нормально,нормально,нормально
386,48,Мужской,"Грузия,Тбилиси",высшее,фамильярно,нормально,нормально
387,19,Женский,Нижний Новгород,неоконченное высшее,фамильярно,нормально,нормально
388,42,Мужской,Москва,высшее,нормально,нормально,нормально
389,22,Мужской,Саянск,неоконченное высшее,фамильярно,фамильярно,фамильярно
390,20,Женский,Москва,неоконченное высшее,нормально,фамильярно,нормально
391,33,Женский,Владимир,высшее,грубо,нормально,фамильярно
392,17,Мужской,В Челябинске.,незаконченное среднее (=школьник),грубо,фамильярно,грубо
393,15,Женский,Москва,незаконченное среднее (=школьник),фамильярно,нормально,нормально
394,18,Женский,Москва ,среднее,фамильярно,нормально,нормально
395,38,Женский,г.Смоленск,высшее,фамильярно,нормально,фамильярно
396,41,Женский,Москва,высшее,фамильярно,нормально,фамильярно
397,44,Женский,Москва,высшее,нормально,нормально,нормально
398,20,Женский,Казань,неоконченное высшее,фамильярно,нормально,фамильярно
399,17,Женский,Домодедово,неоконченное высшее,фамильярно,фамильярно,фамильярно
400,61,Женский,г. Киев,высшее,грубо,грубо,фамильярно
401,74,Женский,"г.Феодосия, Крым",высшее,фамильярно,нормально,нормально
402,22,Женский,"Чусовой, Пермский край",среднее,фамильярно,нормально,нормально
403,44,Мужской,Беломорск,высшее,фамильярно,грубо,фамильярно
404,48,Женский,Ленинград,высшее,фамильярно,нормально,нормально
405,30,Женский,в Москве,высшее,фамильярно,нормально,нормально
406,23,Женский,Крым,среднее специальное,нормально,нормально,фамильярно
407,19,Мужской,Москва,неоконченное высшее,фамильярно,нормально,нормально
408,20,Женский,Москва,неоконченное высшее,нормально,нормально,нормально
409,22,Женский,Москва ,высшее,фамильярно,нормально,фамильярно
410,27,Мужской,Россия,высшее,фамильярно,нормально,фамильярно
411,26,Женский,Москва ,высшее,фамильярно,фамильярно,нормально
412,35,Женский,Ленинград,высшее,фамильярно,нормально,нормально
413,26,Мужской,Москва,высшее,фамильярно,нормально,нормально
414,26,Женский,Пермская область,высшее,фамильярно,нормально,фамильярно
415,29,Женский,Москва,высшее,нормально,нормально,нормально
416,20,Мужской,Москва,неоконченное высшее,фамильярно,фамильярно,нормально
417,23,Женский,Россия,высшее,фамильярно,нормально,фамильярно
418,45,Женский,Москва,высшее,фамильярно,нормально,фамильярно
419,17,Мужской,в пробке,незаконченное среднее (=школьник),нормально,фамильярно,нормально
420,49,Женский,Ташкент,высшее,нормально,нормально,нормально
421,21,Женский,Санкт-Петербург,неоконченное высшее,фамильярно,нормально,нормально
422,32,Женский,Москва ,высшее,фамильярно,нормально,нормально
423,52,Женский,Россия,высшее,фамильярно,нормально,нормально
424,44,Женский,Г. Тихвин,высшее,фамильярно,нормально,нормально
425,24,Женский,Москва,высшее,фамильярно,нормально,нормально
426,42,Мужской,Москва,высшее,фамильярно,нормально,нормально
427,67,Женский,Москва,высшее,нормально,нормально,нормально
428,32,Женский,Москва ,высшее,грубо,фамильярно,нормально
429,35,Женский,Минск,высшее,фамильярно,нормально,нормально
430,31,Мужской,"Выборг, Ленинградская область",высшее,фамильярно,нормально,нормально
431,21,Женский,Москва,неоконченное высшее,грубо,нормально,нормально
432,33,Женский,Великий Новгород ,высшее,фамильярно,грубо,нормально
433,50,Женский,москва,высшее,фамильярно,фамильярно,нормально
434,20,Женский,Санкт-Петербург,неоконченное высшее,грубо,фамильярно,фамильярно
435,22,Мужской,Москва,высшее,грубо,фамильярно,нормально
436,32,Женский,Москва,высшее,фамильярно,нормально,нормально
437,26,Женский,Москва,высшее,фамильярно,нормально,фамильярно
438,30,Женский,moscow,высшее,нормально,нормально,нормально
439,25,Женский,Вологодская область,высшее,фамильярно,нормально,нормально
440,49,Женский,Москва,высшее,фамильярно,нормально,нормально
441,31,Мужской,Москва,высшее,фамильярно,фамильярно,фамильярно
442,34,Мужской,СССР,высшее,грубо,фамильярно,грубо
443,47,Женский,"Москва, СССР",высшее,фамильярно,нормально,нормально
444,40,Мужской,Москва,высшее,грубо,фамильярно,фамильярно
445,36,Мужской,Самара,высшее,фамильярно,нормально,фамильярно
446,27,Женский,Саратов,высшее,фамильярно,нормально,нормально
447,25,Женский,Москва ,высшее,фамильярно,нормально,фамильярно
448,19,Женский,Москва,неоконченное высшее,нормально,нормально,нормально
449,30,Женский,Москаа,высшее,нормально,нормально,нормально
450,37,Женский,Екатеринбург,высшее,фамильярно,нормально,фамильярно
451,34,Мужской,Москва,высшее,фамильярно,нормально,нормально
452,34,Женский,Брянск,высшее,грубо,нормально,фамильярно
453,31,Женский,Москва,высшее,нормально,нормально,нормально
454,23,Женский,Чебоксары,высшее,фамильярно,фамильярно,нормально
455,42,Мужской,"Москва, СССР",высшее,фамильярно,нормально,грубо
456,30,Женский,?,высшее,грубо,фамильярно,нормально
457,30,Женский,Москва ,высшее,фамильярно,нормально,нормально
458,23,Женский,москва,высшее,грубо,нормально,нормально
459,27,Мужской,Москва,высшее,грубо,нормально,нормально
460,26,Женский,Россия,высшее,фамильярно,нормально,нормально
461,28,Мужской,Москва,высшее,нормально,нормально,нормально
462,35,Женский,Мурманск,высшее,нормально,нормально,нормально
463,30,Женский,Москва,высшее,фамильярно,нормально,нормально
464,18,Женский,Чебоксары,неоконченное высшее,фамильярно,нормально,фамильярно
465,30,Женский,г. Орск,высшее,фамильярно,фамильярно,фамильярно
466,62,Мужской,Новосибирск,высшее,нормально,нормально,нормально
467,28,Мужской,Планета Земля,высшее,фамильярно,нормально,нормально
468,25,Женский,Санкт-Петербург ,высшее,нормально,нормально,нормально
469,17,Женский,Москва,незаконченное среднее (=школьник),нормально,нормально,нормально
470,26,Мужской,Москва,высшее,грубо,фамильярно,нормально
471,19,Женский,Москва,неоконченное высшее,фамильярно,нормально,нормально
472,28,Мужской,Волоколамск,высшее,фамильярно,фамильярно,фамильярно
473,26,Женский,Москва,высшее,фамильярно,фамильярно,фамильярно
474,26,Женский,краснодар,высшее,нормально,нормально,нормально
475,45,Мужской,Москва,высшее,фамильярно,нормально,нормально
476,18,Женский,Санкт-Петербург,неоконченное высшее,фамильярно,нормально,нормально
477,17,Женский,Пенза,незаконченное среднее (=школьник),фамильярно,фамильярно,фамильярно
478,16,Женский,Барнаул,незаконченное среднее (=школьник),нормально,нормально,нормально
479,24,Женский,Москва,высшее,фамильярно,нормально,нормально
480,26,Мужской,Москва,высшее,фамильярно,нормально,фамильярно
481,40,Женский,Москва,высшее,фамильярно,нормально,фамильярно
482,21,Женский,Иваново,неоконченное высшее,фамильярно,нормально,нормально
483,35,Женский,Горький,высшее,грубо,фамильярно,грубо
484,44,Женский,Севастополь,высшее,фамильярно,фамильярно,фамильярно
485,15,Мужской,Москва,незаконченное среднее (=школьник),нормально,фамильярно,нормально
486,21,Женский,Москва ,высшее,фамильярно,нормально,нормально
487,26,Женский,Ленинград,высшее,грубо,нормально,нормально
488,25,Женский,Москва,высшее,фамильярно,нормально,нормально
489,54,Женский,Москва,высшее,фамильярно,нормально,фамильярно
490,17,Женский,Москва,незаконченное среднее (=школьник),фамильярно,нормально,нормально
491,17,Женский,Москва,незаконченное среднее (=школьник),фамильярно,нормально,нормально
492,21,Женский,Ижевск,высшее,фамильярно,нормально,нормально
493,17,Женский,Москва,незаконченное среднее (=школьник),фамильярно,нормально,нормально
494,24,Мужской,Томск,неоконченное высшее,грубо,нормально,нормально
495,17,Женский,Москва,незаконченное среднее (=школьник),фамильярно,нормально,нормально
496,17,Женский,Москва,незаконченное среднее (=школьник),нормально,нормально,нормально
497,23,Женский,Москва,высшее,нормально,нормально,нормально
498,17,Женский,Москва,незаконченное среднее (=школьник),грубо,нормально,нормально
499,17,Женский,Москва,незаконченное среднее (=школьник),фамильярно,нормально,фамильярно
500,25,Мужской,Домодедово,неоконченное высшее,фамильярно,нормально,грубо
501,17,Женский,Москва,незаконченное среднее (=школьник),фамильярно,нормально,фамильярно
502,22,Женский,Москва,высшее,фамильярно,нормально,фамильярно
503,19,Мужской,Москва,неоконченное высшее,нормально,нормально,нормально
504,29,Женский,Ленинград,высшее,фамильярно,нормально,фамильярно
505,17,Женский,Москва,незаконченное среднее (=школьник),нормально,нормально,нормально
506,39,Женский,Москва,высшее,грубо,фамильярно,грубо
507,16,Женский,Москва,незаконченное среднее (=школьник),нормально,нормально,нормально
508,17,Женский,Москва,среднее,грубо,фамильярно,нормально
509,16,Женский,"Нге Ан,Вьетнам",незаконченное среднее (=школьник),фамильярно,нормально,нормально
510,34,Женский,Москва ,высшее,фамильярно,нормально,нормально
511,58,Мужской,Москва,высшее,грубо,нормально,нормально
512,17,Женский,Москва ,незаконченное среднее (=школьник),фамильярно,нормально,нормально
513,44,Женский,Усср,высшее,фамильярно,фамильярно,фамильярно
514,19,Мужской,Москва,неоконченное высшее,фамильярно,нормально,нормально
515,17,Мужской,Москва,среднее,грубо,грубо,нормально
516,21,Женский,Московская область ,неоконченное высшее,фамильярно,нормально,нормально
517,27,Мужской,Москва,неоконченное высшее,нормально,нормально,нормально
518,20,Женский,Москва,неоконченное высшее,нормально,фамильярно,нормально
519,27,Женский,Московская область,высшее,фамильярно,нормально,нормально
520,30,Мужской,СССР,высшее,фамильярно,нормально,фамильярно
521,24,Женский,Вологда,высшее,фамильярно,нормально,нормально
522,28,Женский,Москва,высшее,фамильярно,нормально,нормально
523,28,Женский,Москва,высшее,фамильярно,нормально,нормально
524,46,Женский,Москва,высшее,нормально,нормально,нормально
525,27,Мужской,"Железнодорожный, Балашиха",высшее,нормально,нормально,нормально
526,57,Женский,Москва,высшее,фамильярно,нормально,фамильярно
527,15,Женский,Москва,незаконченное среднее (=школьник),фамильярно,нормально,фамильярно
528,49,Женский,Ленинград,высшее,фамильярно,нормально,нормально
529,51,Женский,Новоуральск,среднее специальное,фамильярно,нормально,фамильярно
530,37,Женский,Брянск,высшее,фамильярно,нормально,фамильярно
531,20,Женский,Москва,неоконченное высшее,грубо,нормально,фамильярно
532,41,Женский,Москва,высшее,фамильярно,нормально,нормально
533,26,Мужской,Бугульма,высшее,нормально,нормально,нормально
534,56,Женский,Ленинград,неоконченное высшее,грубо,фамильярно,нормально
535,19,Женский,Лаппеенранта ,неоконченное высшее,фамильярно,фамильярно,фамильярно
536,36,Мужской,Украина,высшее,фамильярно,нормально,нормально
537,41,Мужской,Yaroslavl,среднее,нормально,нормально,нормально
538,20,Женский,Москва,неоконченное высшее,фамильярно,нормально,фамильярно
539,21,Женский,ХМАО ,высшее,фамильярно,фамильярно,фамильярно
540,23,Женский,Санкт-Петербург,высшее,нормально,фамильярно,нормально
541,33,Женский,Russie,высшее,фамильярно,фамильярно,фамильярно
542,20,Женский,Санкт-Петербург,высшее,нормально,нормально,нормально
543,42,Женский,Молдова,среднее специальное,фамильярно,нормально,нормально
544,40,Женский,Ленинград,высшее,грубо,фамильярно,фамильярно
545,18,Женский,Владивосток,среднее,нормально,фамильярно,нормально
546,29,Женский,Украина,высшее,фамильярно,нормально,нормально
547,46,Мужской,Усть-Каменогорск,высшее,фамильярно,нормально,фамильярно
548,14,Мужской,Москва ,незаконченное среднее (=школьник),нормально,нормально,нормально
549,64,Мужской,Тбилиси,высшее,фамильярно,нормально,нормально
550,16,Мужской,Москва,незаконченное среднее (=школьник),фамильярно,нормально,нормально
551,25,Женский,Crimea,неоконченное высшее,фамильярно,нормально,нормально
552,38,Мужской,Самара,высшее,фамильярно,фамильярно,нормально
553,34,Женский,Украина,высшее,фамильярно,фамильярно,нормально
554,30,Мужской,Франция,неоконченное высшее,грубо,нормально,нормально
555,27,Женский,Москва,высшее,фамильярно,нормально,фамильярно
556,22,Женский,Санкт-Петербург ,высшее,фамильярно,нормально,нормально
557,50,Женский,Саратов,неоконченное высшее,нормально,нормально,нормально
558,23,Женский,Россия,высшее,нормально,нормально,нормально
559,23,Женский,Москва,высшее,нормально,нормально,нормально
560,33,Мужской,Пятигорск,высшее,нормально,нормально,нормально
561,24,Женский,Челябинск,высшее,фамильярно,нормально,нормально
562,21,Женский,Омск,неоконченное высшее,фамильярно,нормально,нормально
563,49,Мужской,Череповец,высшее,фамильярно,фамильярно,нормально
564,37,Мужской,Москва,высшее,фамильярно,фамильярно,грубо
565,52,Женский,Россия,высшее,нормально,нормально,фамильярно
566,17,Мужской,Москва,неоконченное высшее,нормально,нормально,фамильярно
567,31,Мужской,Москва,высшее,грубо,грубо,грубо
568,15,Мужской,Санкт-Петербург,незаконченное среднее (=школьник),фамильярно,нормально,нормально
569,20,Женский,Урал,среднее,фамильярно,нормально,нормально
570,19,Женский,Москва,неоконченное высшее,фамильярно,нормально,фамильярно
571,20,Женский,Раменское ,неоконченное высшее,нормально,фамильярно,нормально
572,48,Мужской,Омск,высшее,фамильярно,нормально,нормально
573,42,Женский,Таллин,высшее,грубо,нормально,нормально
574,25,Женский,Брянск,высшее,фамильярно,нормально,фамильярно
575,18,Женский,Москва,неоконченное высшее,фамильярно,нормально,нормально
576,19,Женский,Москва,неоконченное высшее,фамильярно,нормально,нормально
577,44,Женский,Курган,высшее,фамильярно,нормально,нормально
578,24,Женский,Москва,высшее,фамильярно,нормально,нормально
579,49,Женский,Ленинград,высшее,фамильярно,нормально,фамильярно
580,31,Мужской,Москва,высшее,фамильярно,нормально,фамильярно
581,18,Женский,Нижегородская облась,неоконченное высшее,фамильярно,фамильярно,нормально
582,35,Женский,Казахстан,высшее,нормально,нормально,нормально
