rsp,mtd,word,res
71,neutral,"Саш тебе чай или кофе?",1
71,neutral,"Саш Вам чай или кофе?",1
71,informal,"Жень передай хлеб пожалуйста.",1
71,informal,"Жень передайте хлеб пожалуйста",1
71,formal,"Валь ты получил(а) моё письмо?",1
71,formal,"Валь Вы получили моё письмо?",1
72,neutral,"Саш тебе чай или кофе?",1
72,neutral,"Саш Вам чай или кофе?",1
72,informal,"Жень передай хлеб пожалуйста.",1
72,informal,"Жень передайте хлеб пожалуйста",1
72,formal,"Валь ты получил(а) моё письмо?",1
72,formal,"Валь Вы получили моё письмо?",1
73,neutral,"Саш тебе чай или кофе?",1
73,neutral,"Саш Вам чай или кофе?",1
73,informal,"Жень передай хлеб пожалуйста.",1
73,informal,"Жень передайте хлеб пожалуйста",1
73,formal,"Валь ты получил(а) моё письмо?",1
73,formal,"Валь Вы получили моё письмо?",1
74,neutral,"Саш тебе чай или кофе?",1
74,neutral,"Саш Вам чай или кофе?",2
74,informal,"Жень передай хлеб пожалуйста.",1
74,informal,"Жень передайте хлеб пожалуйста",1
74,formal,"Валь ты получил(а) моё письмо?",1
74,formal,"Валь Вы получили моё письмо?",2
75,neutral,"Саш тебе чай или кофе?",1
75,neutral,"Саш Вам чай или кофе?",2
75,informal,"Жень передай хлеб пожалуйста.",1
75,informal,"Жень передайте хлеб пожалуйста",2
75,formal,"Валь ты получил(а) моё письмо?",1
75,formal,"Валь Вы получили моё письмо?",2
76,neutral,"Саш тебе чай или кофе?",1
76,neutral,"Саш Вам чай или кофе?",2
76,informal,"Жень передай хлеб пожалуйста.",1
76,informal,"Жень передайте хлеб пожалуйста",2
76,formal,"Валь ты получил(а) моё письмо?",1
76,formal,"Валь Вы получили моё письмо?",3
77,neutral,"Саш тебе чай или кофе?",1
77,neutral,"Саш Вам чай или кофе?",2
77,informal,"Жень передай хлеб пожалуйста.",1
77,informal,"Жень передайте хлеб пожалуйста",2
77,formal,"Валь ты получил(а) моё письмо?",1
77,formal,"Валь Вы получили моё письмо?",2
78,neutral,"Саш тебе чай или кофе?",1
78,neutral,"Саш Вам чай или кофе?",1
78,informal,"Жень передай хлеб пожалуйста.",1
78,informal,"Жень передайте хлеб пожалуйста",2
78,formal,"Валь ты получил(а) моё письмо?",1
78,formal,"Валь Вы получили моё письмо?",3
79,neutral,"Саш тебе чай или кофе?",1
79,neutral,"Саш Вам чай или кофе?",2
79,informal,"Жень передай хлеб пожалуйста.",1
79,informal,"Жень передайте хлеб пожалуйста",1
79,formal,"Валь ты получил(а) моё письмо?",1
79,formal,"Валь Вы получили моё письмо?",2
80,neutral,"Саш тебе чай или кофе?",1
80,neutral,"Саш Вам чай или кофе?",1
80,informal,"Жень передай хлеб пожалуйста.",1
80,informal,"Жень передайте хлеб пожалуйста",1
80,formal,"Валь ты получил(а) моё письмо?",1
80,formal,"Валь Вы получили моё письмо?",3
81,neutral,"Саш тебе чай или кофе?",1
81,neutral,"Саш Вам чай или кофе?",2
81,informal,"Жень передай хлеб пожалуйста.",1
81,informal,"Жень передайте хлеб пожалуйста",2
81,formal,"Валь ты получил(а) моё письмо?",1
81,formal,"Валь Вы получили моё письмо?",2
82,neutral,"Саш тебе чай или кофе?",1
82,neutral,"Саш Вам чай или кофе?",3
82,informal,"Жень передай хлеб пожалуйста.",1
82,informal,"Жень передайте хлеб пожалуйста",2
82,formal,"Валь ты получил(а) моё письмо?",1
82,formal,"Валь Вы получили моё письмо?",2
83,neutral,"Саш тебе чай или кофе?",1
83,neutral,"Саш Вам чай или кофе?",2
83,informal,"Жень передай хлеб пожалуйста.",1
83,informal,"Жень передайте хлеб пожалуйста",2
83,formal,"Валь ты получил(а) моё письмо?",1
83,formal,"Валь Вы получили моё письмо?",2
84,neutral,"Саш тебе чай или кофе?",1
84,neutral,"Саш Вам чай или кофе?",2
84,informal,"Жень передай хлеб пожалуйста.",1
84,informal,"Жень передайте хлеб пожалуйста",3
84,formal,"Валь ты получил(а) моё письмо?",1
84,formal,"Валь Вы получили моё письмо?",2
85,neutral,"Саш тебе чай или кофе?",1
85,neutral,"Саш Вам чай или кофе?",2
85,informal,"Жень передай хлеб пожалуйста.",1
85,informal,"Жень передайте хлеб пожалуйста",1
85,formal,"Валь ты получил(а) моё письмо?",1
85,formal,"Валь Вы получили моё письмо?",2
86,neutral,"Саш тебе чай или кофе?",1
86,neutral,"Саш Вам чай или кофе?",2
86,informal,"Жень передай хлеб пожалуйста.",1
86,informal,"Жень передайте хлеб пожалуйста",2
86,formal,"Валь ты получил(а) моё письмо?",1
86,formal,"Валь Вы получили моё письмо?",2
87,neutral,"Саш тебе чай или кофе?",1
87,neutral,"Саш Вам чай или кофе?",2
87,informal,"Жень передай хлеб пожалуйста.",2
87,informal,"Жень передайте хлеб пожалуйста",2
87,formal,"Валь ты получил(а) моё письмо?",2
87,formal,"Валь Вы получили моё письмо?",2
88,neutral,"Саш тебе чай или кофе?",1
88,neutral,"Саш Вам чай или кофе?",1
88,informal,"Жень передай хлеб пожалуйста.",1
88,informal,"Жень передайте хлеб пожалуйста",1
88,formal,"Валь ты получил(а) моё письмо?",1
88,formal,"Валь Вы получили моё письмо?",3
89,neutral,"Саш тебе чай или кофе?",1
89,neutral,"Саш Вам чай или кофе?",2
89,informal,"Жень передай хлеб пожалуйста.",1
89,informal,"Жень передайте хлеб пожалуйста",2
89,formal,"Валь ты получил(а) моё письмо?",1
89,formal,"Валь Вы получили моё письмо?",3
90,neutral,"Саш тебе чай или кофе?",1
90,neutral,"Саш Вам чай или кофе?",2
90,informal,"Жень передай хлеб пожалуйста.",1
90,informal,"Жень передайте хлеб пожалуйста",2
90,formal,"Валь ты получил(а) моё письмо?",1
90,formal,"Валь Вы получили моё письмо?",1
91,neutral,"Саш тебе чай или кофе?",1
91,neutral,"Саш Вам чай или кофе?",1
91,informal,"Жень передай хлеб пожалуйста.",1
91,informal,"Жень передайте хлеб пожалуйста",1
91,formal,"Валь ты получил(а) моё письмо?",1
91,formal,"Валь Вы получили моё письмо?",1
92,neutral,"Саш тебе чай или кофе?",1
92,neutral,"Саш Вам чай или кофе?",2
92,informal,"Жень передай хлеб пожалуйста.",1
92,informal,"Жень передайте хлеб пожалуйста",2
92,formal,"Валь ты получил(а) моё письмо?",1
92,formal,"Валь Вы получили моё письмо?",2
93,neutral,"Саш тебе чай или кофе?",1
93,neutral,"Саш Вам чай или кофе?",2
93,informal,"Жень передай хлеб пожалуйста.",1
93,informal,"Жень передайте хлеб пожалуйста",2
93,formal,"Валь ты получил(а) моё письмо?",1
93,formal,"Валь Вы получили моё письмо?",2
94,neutral,"Саш тебе чай или кофе?",1
94,neutral,"Саш Вам чай или кофе?",2
94,informal,"Жень передай хлеб пожалуйста.",1
94,informal,"Жень передайте хлеб пожалуйста",2
94,formal,"Валь ты получил(а) моё письмо?",1
94,formal,"Валь Вы получили моё письмо?",2
95,neutral,"Саш тебе чай или кофе?",1
95,neutral,"Саш Вам чай или кофе?",2
95,informal,"Жень передай хлеб пожалуйста.",2
95,informal,"Жень передайте хлеб пожалуйста",2
95,formal,"Валь ты получил(а) моё письмо?",1
95,formal,"Валь Вы получили моё письмо?",2
96,neutral,"Саш тебе чай или кофе?",1
96,neutral,"Саш Вам чай или кофе?",2
96,informal,"Жень передай хлеб пожалуйста.",1
96,informal,"Жень передайте хлеб пожалуйста",2
96,formal,"Валь ты получил(а) моё письмо?",1
96,formal,"Валь Вы получили моё письмо?",2
97,neutral,"Саш тебе чай или кофе?",3
97,neutral,"Саш Вам чай или кофе?",2
97,informal,"Жень передай хлеб пожалуйста.",1
97,informal,"Жень передайте хлеб пожалуйста",1
97,formal,"Валь ты получил(а) моё письмо?",1
97,formal,"Валь Вы получили моё письмо?",1
98,neutral,"Саш тебе чай или кофе?",1
98,neutral,"Саш Вам чай или кофе?",2
98,informal,"Жень передай хлеб пожалуйста.",1
98,informal,"Жень передайте хлеб пожалуйста",2
98,formal,"Валь ты получил(а) моё письмо?",1
98,formal,"Валь Вы получили моё письмо?",1
99,neutral,"Саш тебе чай или кофе?",1
99,neutral,"Саш Вам чай или кофе?",2
99,informal,"Жень передай хлеб пожалуйста.",1
99,informal,"Жень передайте хлеб пожалуйста",2
99,formal,"Валь ты получил(а) моё письмо?",1
99,formal,"Валь Вы получили моё письмо?",2
100,neutral,"Саш тебе чай или кофе?",1
100,neutral,"Саш Вам чай или кофе?",2
100,informal,"Жень передай хлеб пожалуйста.",1
100,informal,"Жень передайте хлеб пожалуйста",2
100,formal,"Валь ты получил(а) моё письмо?",1
100,formal,"Валь Вы получили моё письмо?",2
101,neutral,"Саш тебе чай или кофе?",1
101,neutral,"Саш Вам чай или кофе?",2
101,informal,"Жень передай хлеб пожалуйста.",1
101,informal,"Жень передайте хлеб пожалуйста",2
101,formal,"Валь ты получил(а) моё письмо?",1
101,formal,"Валь Вы получили моё письмо?",2
102,neutral,"Саш тебе чай или кофе?",1
102,neutral,"Саш Вам чай или кофе?",2
102,informal,"Жень передай хлеб пожалуйста.",1
102,informal,"Жень передайте хлеб пожалуйста",2
102,formal,"Валь ты получил(а) моё письмо?",1
102,formal,"Валь Вы получили моё письмо?",2
103,neutral,"Саш тебе чай или кофе?",1
103,neutral,"Саш Вам чай или кофе?",2
103,informal,"Жень передай хлеб пожалуйста.",1
103,informal,"Жень передайте хлеб пожалуйста",2
103,formal,"Валь ты получил(а) моё письмо?",1
103,formal,"Валь Вы получили моё письмо?",2
104,neutral,"Саш тебе чай или кофе?",1
104,neutral,"Саш Вам чай или кофе?",2
104,informal,"Жень передай хлеб пожалуйста.",1
104,informal,"Жень передайте хлеб пожалуйста",2
104,formal,"Валь ты получил(а) моё письмо?",1
104,formal,"Валь Вы получили моё письмо?",2
105,neutral,"Саш тебе чай или кофе?",1
105,neutral,"Саш Вам чай или кофе?",2
105,informal,"Жень передай хлеб пожалуйста.",1
105,informal,"Жень передайте хлеб пожалуйста",2
105,formal,"Валь ты получил(а) моё письмо?",1
105,formal,"Валь Вы получили моё письмо?",2
106,neutral,"Саш тебе чай или кофе?",1
106,neutral,"Саш Вам чай или кофе?",2
106,informal,"Жень передай хлеб пожалуйста.",1
106,informal,"Жень передайте хлеб пожалуйста",2
106,formal,"Валь ты получил(а) моё письмо?",1
106,formal,"Валь Вы получили моё письмо?",2
107,neutral,"Саш тебе чай или кофе?",1
107,neutral,"Саш Вам чай или кофе?",1
107,informal,"Жень передай хлеб пожалуйста.",1
107,informal,"Жень передайте хлеб пожалуйста",1
107,formal,"Валь ты получил(а) моё письмо?",1
107,formal,"Валь Вы получили моё письмо?",1
108,neutral,"Саш тебе чай или кофе?",1
108,neutral,"Саш Вам чай или кофе?",1
108,informal,"Жень передай хлеб пожалуйста.",1
108,informal,"Жень передайте хлеб пожалуйста",1
108,formal,"Валь ты получил(а) моё письмо?",1
108,formal,"Валь Вы получили моё письмо?",1
109,neutral,"Саш тебе чай или кофе?",1
109,neutral,"Саш Вам чай или кофе?",1
109,informal,"Жень передай хлеб пожалуйста.",1
109,informal,"Жень передайте хлеб пожалуйста",1
109,formal,"Валь ты получил(а) моё письмо?",1
109,formal,"Валь Вы получили моё письмо?",1
110,neutral,"Саш тебе чай или кофе?",1
110,neutral,"Саш Вам чай или кофе?",2
110,informal,"Жень передай хлеб пожалуйста.",1
110,informal,"Жень передайте хлеб пожалуйста",2
110,formal,"Валь ты получил(а) моё письмо?",2
110,formal,"Валь Вы получили моё письмо?",3
111,neutral,"Саш тебе чай или кофе?",1
111,neutral,"Саш Вам чай или кофе?",2
111,informal,"Жень передай хлеб пожалуйста.",1
111,informal,"Жень передайте хлеб пожалуйста",2
111,formal,"Валь ты получил(а) моё письмо?",1
111,formal,"Валь Вы получили моё письмо?",3
112,neutral,"Саш тебе чай или кофе?",1
112,neutral,"Саш Вам чай или кофе?",1
112,informal,"Жень передай хлеб пожалуйста.",1
112,informal,"Жень передайте хлеб пожалуйста",3
112,formal,"Валь ты получил(а) моё письмо?",1
112,formal,"Валь Вы получили моё письмо?",1
113,neutral,"Саш тебе чай или кофе?",3
113,neutral,"Саш Вам чай или кофе?",3
113,informal,"Жень передай хлеб пожалуйста.",3
113,informal,"Жень передайте хлеб пожалуйста",3
113,formal,"Валь ты получил(а) моё письмо?",3
113,formal,"Валь Вы получили моё письмо?",3
114,neutral,"Саш тебе чай или кофе?",1
114,neutral,"Саш Вам чай или кофе?",1
114,informal,"Жень передай хлеб пожалуйста.",1
114,informal,"Жень передайте хлеб пожалуйста",1
114,formal,"Валь ты получил(а) моё письмо?",1
114,formal,"Валь Вы получили моё письмо?",1
115,neutral,"Саш тебе чай или кофе?",1
115,neutral,"Саш Вам чай или кофе?",3
115,informal,"Жень передай хлеб пожалуйста.",1
115,informal,"Жень передайте хлеб пожалуйста",3
115,formal,"Валь ты получил(а) моё письмо?",1
115,formal,"Валь Вы получили моё письмо?",3
116,neutral,"Саш тебе чай или кофе?",1
116,neutral,"Саш Вам чай или кофе?",3
116,informal,"Жень передай хлеб пожалуйста.",1
116,informal,"Жень передайте хлеб пожалуйста",1
116,formal,"Валь ты получил(а) моё письмо?",1
116,formal,"Валь Вы получили моё письмо?",3
117,neutral,"Саш тебе чай или кофе?",1
117,neutral,"Саш Вам чай или кофе?",1
117,informal,"Жень передай хлеб пожалуйста.",1
117,informal,"Жень передайте хлеб пожалуйста",2
117,formal,"Валь ты получил(а) моё письмо?",1
117,formal,"Валь Вы получили моё письмо?",1
118,neutral,"Саш тебе чай или кофе?",1
118,neutral,"Саш Вам чай или кофе?",3
118,informal,"Жень передай хлеб пожалуйста.",1
118,informal,"Жень передайте хлеб пожалуйста",3
118,formal,"Валь ты получил(а) моё письмо?",1
118,formal,"Валь Вы получили моё письмо?",3
119,neutral,"Саш тебе чай или кофе?",1
119,neutral,"Саш Вам чай или кофе?",3
119,informal,"Жень передай хлеб пожалуйста.",1
119,informal,"Жень передайте хлеб пожалуйста",3
119,formal,"Валь ты получил(а) моё письмо?",1
119,formal,"Валь Вы получили моё письмо?",3
120,neutral,"Саш тебе чай или кофе?",2
120,neutral,"Саш Вам чай или кофе?",1
120,informal,"Жень передай хлеб пожалуйста.",2
120,informal,"Жень передайте хлеб пожалуйста",1
120,formal,"Валь ты получил(а) моё письмо?",2
120,formal,"Валь Вы получили моё письмо?",1
121,neutral,"Саш тебе чай или кофе?",1
121,neutral,"Саш Вам чай или кофе?",1
121,informal,"Жень передай хлеб пожалуйста.",1
121,informal,"Жень передайте хлеб пожалуйста",1
121,formal,"Валь ты получил(а) моё письмо?",1
121,formal,"Валь Вы получили моё письмо?",1
122,neutral,"Саш тебе чай или кофе?",1
122,neutral,"Саш Вам чай или кофе?",1
122,informal,"Жень передай хлеб пожалуйста.",1
122,informal,"Жень передайте хлеб пожалуйста",1
122,formal,"Валь ты получил(а) моё письмо?",2
122,formal,"Валь Вы получили моё письмо?",3
123,neutral,"Саш тебе чай или кофе?",1
123,neutral,"Саш Вам чай или кофе?",3
123,informal,"Жень передай хлеб пожалуйста.",1
123,informal,"Жень передайте хлеб пожалуйста",3
123,formal,"Валь ты получил(а) моё письмо?",1
123,formal,"Валь Вы получили моё письмо?",3
124,neutral,"Саш тебе чай или кофе?",2
124,neutral,"Саш Вам чай или кофе?",2
124,informal,"Жень передай хлеб пожалуйста.",2
124,informal,"Жень передайте хлеб пожалуйста",2
124,formal,"Валь ты получил(а) моё письмо?",2
124,formal,"Валь Вы получили моё письмо?",2
125,neutral,"Саш тебе чай или кофе?",2
125,neutral,"Саш Вам чай или кофе?",3
125,informal,"Жень передай хлеб пожалуйста.",2
125,informal,"Жень передайте хлеб пожалуйста",2
125,formal,"Валь ты получил(а) моё письмо?",2
125,formal,"Валь Вы получили моё письмо?",3
126,neutral,"Саш тебе чай или кофе?",1
126,neutral,"Саш Вам чай или кофе?",2
126,informal,"Жень передай хлеб пожалуйста.",1
126,informal,"Жень передайте хлеб пожалуйста",2
126,formal,"Валь ты получил(а) моё письмо?",1
126,formal,"Валь Вы получили моё письмо?",2
127,neutral,"Саш тебе чай или кофе?",1
127,neutral,"Саш Вам чай или кофе?",1
127,informal,"Жень передай хлеб пожалуйста.",1
127,informal,"Жень передайте хлеб пожалуйста",1
127,formal,"Валь ты получил(а) моё письмо?",1
127,formal,"Валь Вы получили моё письмо?",1
128,neutral,"Саш тебе чай или кофе?",1
128,neutral,"Саш Вам чай или кофе?",1
128,informal,"Жень передай хлеб пожалуйста.",1
128,informal,"Жень передайте хлеб пожалуйста",1
128,formal,"Валь ты получил(а) моё письмо?",1
128,formal,"Валь Вы получили моё письмо?",1
129,neutral,"Саш тебе чай или кофе?",1
129,neutral,"Саш Вам чай или кофе?",1
129,informal,"Жень передай хлеб пожалуйста.",1
129,informal,"Жень передайте хлеб пожалуйста",1
129,formal,"Валь ты получил(а) моё письмо?",1
129,formal,"Валь Вы получили моё письмо?",1
130,neutral,"Саш тебе чай или кофе?",1
130,neutral,"Саш Вам чай или кофе?",1
130,informal,"Жень передай хлеб пожалуйста.",1
130,informal,"Жень передайте хлеб пожалуйста",1
130,formal,"Валь ты получил(а) моё письмо?",1
130,formal,"Валь Вы получили моё письмо?",1
131,neutral,"Саш тебе чай или кофе?",1
131,neutral,"Саш Вам чай или кофе?",1
131,informal,"Жень передай хлеб пожалуйста.",1
131,informal,"Жень передайте хлеб пожалуйста",1
131,formal,"Валь ты получил(а) моё письмо?",1
131,formal,"Валь Вы получили моё письмо?",3
132,neutral,"Саш тебе чай или кофе?",2
132,neutral,"Саш Вам чай или кофе?",3
132,informal,"Жень передай хлеб пожалуйста.",2
132,informal,"Жень передайте хлеб пожалуйста",3
132,formal,"Валь ты получил(а) моё письмо?",2
132,formal,"Валь Вы получили моё письмо?",3
133,neutral,"Саш тебе чай или кофе?",1
133,neutral,"Саш Вам чай или кофе?",1
133,informal,"Жень передай хлеб пожалуйста.",1
133,informal,"Жень передайте хлеб пожалуйста",1
133,formal,"Валь ты получил(а) моё письмо?",1
133,formal,"Валь Вы получили моё письмо?",1
134,neutral,"Саш тебе чай или кофе?",1
134,neutral,"Саш Вам чай или кофе?",1
134,informal,"Жень передай хлеб пожалуйста.",1
134,informal,"Жень передайте хлеб пожалуйста",1
134,formal,"Валь ты получил(а) моё письмо?",1
134,formal,"Валь Вы получили моё письмо?",1
135,neutral,"Саш тебе чай или кофе?",1
135,neutral,"Саш Вам чай или кофе?",1
135,informal,"Жень передай хлеб пожалуйста.",1
135,informal,"Жень передайте хлеб пожалуйста",1
135,formal,"Валь ты получил(а) моё письмо?",1
135,formal,"Валь Вы получили моё письмо?",1
136,neutral,"Саш тебе чай или кофе?",1
136,neutral,"Саш Вам чай или кофе?",1
136,informal,"Жень передай хлеб пожалуйста.",1
136,informal,"Жень передайте хлеб пожалуйста",1
136,formal,"Валь ты получил(а) моё письмо?",1
136,formal,"Валь Вы получили моё письмо?",1
137,neutral,"Саш тебе чай или кофе?",1
137,neutral,"Саш Вам чай или кофе?",1
137,informal,"Жень передай хлеб пожалуйста.",3
137,informal,"Жень передайте хлеб пожалуйста",3
137,formal,"Валь ты получил(а) моё письмо?",3
137,formal,"Валь Вы получили моё письмо?",3
138,neutral,"Саш тебе чай или кофе?",1
138,neutral,"Саш Вам чай или кофе?",1
138,informal,"Жень передай хлеб пожалуйста.",1
138,informal,"Жень передайте хлеб пожалуйста",1
138,formal,"Валь ты получил(а) моё письмо?",1
138,formal,"Валь Вы получили моё письмо?",1
139,neutral,"Саш тебе чай или кофе?",1
139,neutral,"Саш Вам чай или кофе?",1
139,informal,"Жень передай хлеб пожалуйста.",1
139,informal,"Жень передайте хлеб пожалуйста",2
139,formal,"Валь ты получил(а) моё письмо?",1
139,formal,"Валь Вы получили моё письмо?",1